station,Ts_obs
1.0,51.4344503736
2.0,47.0176174863
3.0,46.8000268823
4.0,49.7815110189
5.0,42.3244548889
6.0,36.8096620729
7.0,38.927277994
8.0,44.785010085
9.0,46.0797243747
10.0,51.1557833573
11.0,50.3371584333
12.0,47.6308701981
13.0,46.7608041955
14.0,50.3163852361
15.0,40.9542898992
16.0,43.6772012235
17.0,39.2073749831
18.0,47.9922500416
19.0,46.4030764626
20.0,38.6097700555
21.0,47.4281363376
22.0,47.5524934479
23.0,47.4347834983
24.0,38.7979329063
25.0,37.9956108137
26.0,38.0762723032
27.0,37.6034551582
28.0,40.4769821387
29.0,47.9317553321
30.0,42.0425762953
